ID muro,longitud,FE,Area Tributaria,fy,fyc,bc,hc,fc,as,peso pieza,peso add,altura libre,fm
1,3.1,0.6,4.5509,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
2,1.95,0.6,3.393,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
3,1.725,0.6,1.5091,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
4,1.15,0.6,1.5102,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
5,2.0875,0.6,0.8906,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
6,1.65,0.6,1.125,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
7,2.9,0.7,3.4512,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
8,1.95,0.7,1.62,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
9,1.35,0.7,0.72,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
10,2.0875,0.6,0.89,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
11,1.7875,0.6,1.3445,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
12,0.65,0.7,1.1033,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
13,2.164,0.7,3.584,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
14,2.1625,0.7,4.5966,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
15,1.925,0.7,4.8832,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
16,2.1625,0.7,2.4952,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
17,0.875,0.7,1.211,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
18,2.0875,0.6,0.8906,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
19,1.15,0.6,1.5102,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
20,1.725,0.6,1.5091,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
21,1.95,0.6,3.393,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
22,3.1,0.6,4.5509,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
23,1.7875,0.6,1.3445,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
24,2.0875,0.6,0.89,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
25,0.65,0.7,1.1033,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
26,2.164,0.7,3.584,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
27,2.1655,0.7,4.5966,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
28,1.925,0.7,4.8832,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
29,2.1625,0.7,2.4952,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
30,0.875,0.7,1.211,4200,6000,0.15,0.15,200,0.0568,154.8,0,2.5,15
